ADVERTISER,BRAND,MEDIA_GROUP,MEDIA,MEDIA_OWNER,DOW,NATIONAL/LOCAL,MARKET,PROGRAM,PROGRAM_GENRE,DAYPART,PROPERTY,JAN_2025__$,JAN_2025__UNITS,FEB_2025__$,FEB_2025__UNITS,MAR_2025__$,MAR_2025__UNITS,APR_2025__$,APR_2025__UNITS,MAY_2025__$,MAY_2025__UNITS,JUNE_2025__$,JUNE_2025__UNITS,JUL_2025__$,JUL_2025__UNITS,AUG_2025__$,AUG_2025__UNITS,SEPT_2025__$,SEPT_2025__UNITS,OCT_2025__$,OCT_2025__UNITS,TOTAL_$,TOTAL_UNITS
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,FAMILY MATTERS,ENTERTAINMENT,Overnight,BETH,,,,,,,,,,,,,268,2,28,1,,,,,296,3
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,FREAKY MOVIE,ENTERTAINMENT,Overnight,MTV,,,,,,,,,,,,,,,,,,,635,1,635,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,GLOBAL CHAMPIONS TOUR,SPORTS,Prime Access,CBSS,,,,,,,,,,,,,,,,,764,2,,,764,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,GROWN UPS 2,ENTERTAINMENT,Overnight,MTV,,,,,,,,,,,,,,,,,,,318,1,318,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,LAW & ORDER,ENTERTAINMENT,Morning,POP,,,,,,,,,,,,,,,412,2,68,1,477,4,957,7
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,LAW & ORDER,ENTERTAINMENT,Afternoon,POP,,,,,,,,,,,,,,,,,,,68,1,68,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,LONG KISS GOODNIGHT,ENTERTAINMENT,Early Fringe,BETH,,,,,,,,,,,,,,,,,,,139,2,139,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,LONG KISS GOODNIGHT,ENTERTAINMENT,Early News,BETH,,,,,,,,,,,,,,,,,,,270,3,270,3
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,MORNING GLOW,ENTERTAINMENT,Early Morning,BETH,,,,,,,,,,,,,,,,,75,4,15,1,90,5
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,MOTOCROSS,SPORTS,Prime Access,CBSS,,,,,,,,,,,,,,,,,,,668,1,668,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,MS. PAT SETTLES IT,ENTERTAINMENT,Afternoon,BETH,,,,,,,,,,,,,355,4,273,3,47,1,,,675,8
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,MS. PAT SETTLES IT,ENTERTAINMENT,Early Fringe,BETH,,,,,,,,,,,,,47,1,400,8,96,2,,,543,11
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,MS. PAT SETTLES IT,ENTERTAINMENT,Early News,BETH,,,,,,,,,,,,,,,45,1,,,,,45,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,NEIGHBORHOOD SHOW,ENTERTAINMENT,Afternoon,BET,,,,,,,,,,,,,,,,,"1,089",2,,,"1,089",2
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,NORTH OF THE 10,ENTERTAINMENT,Overnight,BETH,,,,,,,,,,,,,,,224,2,,,,,224,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,OFFICE,ENTERTAINMENT,Prime Time,COM,,,,,,,,,,,,,,,,,,,"1,468",1,"1,468",1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,QUEEN OF THE DAMNED,ENTERTAINMENT,Prime Access,BET,,,,,,,,,,,,,,,,,,,489,1,489,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,REMINISCE,ENTERTAINMENT,Early Morning,BETH,,,,,,,,,,,,,,,32,2,,,,,32,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,RIDICULOUSNESS,ENTERTAINMENT,Morning,AMTV,,,,,,,,,,,,,,,,,,,442,2,442,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,RIDICULOUSNESS,ENTERTAINMENT,Morning,MTV,,,,,,,,,,,,,,,513,3,,,734,2,"1,247",5
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,RIDICULOUSNESS,ENTERTAINMENT,Afternoon,MTV,,,,,,,,,,,,,,,171,1,,,979,3,"1,150",4
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,SOUTH PARK,ENTERTAINMENT,Late Fringe,COM,,,,,,,,,,,,,,,,,,,156,1,156,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,STEP BROTHERS MOVIE,ENTERTAINMENT,Early News,MTV,,,,,,,,,,,,,,,"1,029",1,,,,,"1,029",1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,STEP BROTHERS MOVIE,ENTERTAINMENT,Overnight,MTV,,,,,,,,,,,,,,,,,,,318,1,318,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,THINK LIKE A MAN TOO MOV,ENTERTAINMENT,Prime Time,BET,,,,,,,,,,,,,,,,,,,978,2,978,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,TYLER PERRY'S ASSISTED L,ENTERTAINMENT,Early Fringe,BETH,,,,,,,,,,,,,,,143,1,180,2,,,323,3
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,TYLER PERRY'S ASSISTED L,ENTERTAINMENT,Early News,BETH,,,,,,,,,,,,,117,1,,,,,,,117,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,TYLER PERRY'S HS/PAYNE,ENTERTAINMENT,Morning,BETH,,,,,,,,,,,,,284,2,109,1,,,47,1,440,4
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,TYLER PERRY'S HS/PAYNE,ENTERTAINMENT,Afternoon,BETH,,,,,,,,,,,,,284,2,109,1,,,47,1,440,4
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,TYLER PERRY'S MEET/BROWN,ENTERTAINMENT,Afternoon,BETH,,,,,,,,,,,,,,,,,,,94,2,94,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,WHITE HOUSE DOWN,ENTERTAINMENT,Prime Access,BET,,,,,,,,,,,,,,,,,489,1,,,489,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,WHO MADE THE POTATOE SAL,ENTERTAINMENT,Early News,BETH,,,,,,,,,,,,,,,,,180,2,,,180,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Friday,NATIONAL,* TOTAL US,WORLD SERIES OF POKER BR,SPORTS,Late News,CBSS,,,,,,,,,,,,,,,,,117,1,,,117,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,50 FIRST DATES,ENTERTAINMENT,Weekend Afternoon,COM,,,,,,,,,,,,,,,893,1,,,,,893,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,A TIME TO KILL,ENTERTAINMENT,Early Fringe,POP,,,,,,,,,,,,,,,181,1,,,,,181,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,A TIME TO KILL,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,543,3,,,,,543,3
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,CELEBRITY FAMILY FEUD,ENTERTAINMENT,Weekend Afternoon,BET,,,,,,,,,,,,,,,,,"1,387",1,,,"1,387",1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,CHRISTMAS CLAPBACK,ENTERTAINMENT,Late Fringe,BETH,,,,,,,,,,,,,307,1,,,,,,,307,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,COLLEGE HILL: SOUTH BEAC,ENTERTAINMENT,Weekend Afternoon,BETH,,,,,,,,,,,,,52,1,,,,,,,52,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,DEADLY ENTANGLEMENT,ENTERTAINMENT,Weekend Afternoon,BETH,,,,,,,,,,,,,217,1,,,,,,,217,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,DUTCH II: ANGEL'S REVENG,ENTERTAINMENT,Weekend Afternoon,BETH,,,,,,,,,,,,,,,,,,,178,2,178,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,ER SHOW,ENTERTAINMENT,Saturday Morning,POP,,,,,,,,,,,,,,,"2,268",8,"1,485",13,,,"3,753",21
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,ER SHOW,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,181,1,226,2,,,407,3
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,FAMILY MATTERS,ENTERTAINMENT,Overnight,BETH,,,,,,,,,,,,,30,1,56,2,,,,,86,3
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,FBI,ENTERTAINMENT,Saturday Morning,POP,,,,,,,,,,,,,,,,,,,"1,134",5,"1,134",5
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,FBI,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,,,,,523,2,523,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,FOREVER MY GIRL,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,,,,,105,1,105,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,FUGITIVE,ENTERTAINMENT,Early Fringe,POP,,,,,,,,,,,,,,,362,2,,,,,362,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,FUGITIVE,ENTERTAINMENT,Saturday Morning,POP,,,,,,,,,,,,,,,324,2,,,,,324,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,GRUMPIER OLD MEN,ENTERTAINMENT,Early Fringe,POP,,,,,,,,,,,,,,,,,525,5,,,525,5
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,GRUMPIER OLD MEN,ENTERTAINMENT,Saturday Morning,POP,,,,,,,,,,,,,,,,,99,1,,,99,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,GRUMPIER OLD MEN,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,,,297,3,,,297,3
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,GRUMPY OLD MEN,ENTERTAINMENT,Early Fringe,POP,,,,,,,,,,,,,,,,,105,1,,,105,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,GRUMPY OLD MEN,ENTERTAINMENT,Saturday Morning,POP,,,,,,,,,,,,,,,,,594,5,,,594,5
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,GRUMPY OLD MEN,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,,,315,3,,,315,3
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,HANGOVER PART II,ENTERTAINMENT,Late Fringe,COM,,,,,,,,,,,,,,,,,,,156,1,156,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,HELLO,ENTERTAINMENT,Weekend Afternoon,BETH,,,,,,,,,,,,,,,213,1,,,,,213,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,INTERN MOVIE,ENTERTAINMENT,Early Fringe,POP,,,,,,,,,,,,,,,,,525,5,,,525,5
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,INTERN MOVIE,ENTERTAINMENT,Saturday Morning,POP,,,,,,,,,,,,,,,,,198,1,,,198,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,INTERN MOVIE,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,,,525,5,,,525,5
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,LONGEST YARD MOVIE,ENTERTAINMENT,Saturday Morning,POP,,,,,,,,,,,,,,,,,198,2,,,198,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,LONGEST YARD MOVIE,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,,,396,2,,,396,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,MEXICAN LIGA MX SOCCER,SPORTS,Late Fringe,CBSS,,,,,,,,,,,,,,,,,,,193,1,193,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,MS. PAT SETTLES IT,ENTERTAINMENT,Saturday Morning,BETH,,,,,,,,,,,,,232,1,213,1,,,,,445,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,MS. PAT SETTLES IT,ENTERTAINMENT,Weekend Afternoon,BETH,,,,,,,,,,,,,,,107,1,,,,,107,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,OFFICE,ENTERTAINMENT,Prime Time,COM,,,,,,,,,,,,,,,,,,,784,1,784,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,OVERBOARD MOVIE,ENTERTAINMENT,Early Fringe,POP,,,,,,,,,,,,,,,543,3,,,,,543,3
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,OVERBOARD MOVIE,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,181,1,,,,,181,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,PARKS AND RECREATION,ENTERTAINMENT,Saturday Morning,COM,,,,,,,,,,,,,,,"1,508",2,,,,,"1,508",2
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,PITCH PERFECT 2,ENTERTAINMENT,Early Fringe,COM,,,,,,,,,,,,,864,1,,,,,,,864,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,PIXELS,ENTERTAINMENT,Early Fringe,COM,,,,,,,,,,,,,,,893,1,,,,,893,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,PIXELS,ENTERTAINMENT,Early Fringe,POP,,,,,,,,,,,,,,,,,209,1,,,209,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,PIXELS,ENTERTAINMENT,Saturday Morning,POP,,,,,,,,,,,,,,,,,693,5,,,693,5
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,RIDICULOUSNESS,ENTERTAINMENT,Late Fringe,MTV,,,,,,,,,,,,,,,258,1,,,,,258,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,RIDICULOUSNESS,ENTERTAINMENT,Overnight,MTV,,,,,,,,,,,,,,,,,,,317,1,317,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,SCHOOL OF ROCK,ENTERTAINMENT,Early Fringe,POP,,,,,,,,,,,,,,,,,,,181,1,181,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,SCHOOL OF ROCK,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,,,,,362,2,362,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,SOUL SANTA,ENTERTAINMENT,Late Fringe,BETH,,,,,,,,,,,,,134,1,,,,,,,134,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,SOUL SANTA,ENTERTAINMENT,Overnight,BETH,,,,,,,,,,,,,134,1,,,,,,,134,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,STEEL MAGNOLIAS MOVIE,ENTERTAINMENT,Early Fringe,POP,,,,,,,,,,,,,,,,,,,420,4,420,4
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,STEEL MAGNOLIAS MOVIE,ENTERTAINMENT,Saturday Morning,POP,,,,,,,,,,,,,,,,,,,198,1,198,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,STEEL MAGNOLIAS MOVIE,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,,,,,338,2,338,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,TROPHY WIFE MOVIE,ENTERTAINMENT,Early Fringe,BETH,,,,,,,,,,,,,217,1,,,,,,,217,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Saturday,NATIONAL,* TOTAL US,TYLER PERRY'S MEET/BROWN,ENTERTAINMENT,Saturday Morning,BETH,,,,,,,,,,,,,"2,320",10,"2,769",13,,,89,1,"5,178",24
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,22 JUMP STREET,ENTERTAINMENT,Weekend Afternoon,COM,,,,,,,,,,,,,864,1,,,,,,,864,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,50 FIRST DATES,ENTERTAINMENT,Weekend Afternoon,COM,,,,,,,,,,,,,,,754,1,,,,,754,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,50 FIRST DATES,ENTERTAINMENT,Sunday Morning,COM,,,,,,,,,,,,,,,754,1,,,,,754,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,AMERICAN CORNHOLE LEAGUE,SPORTS,Weekend Afternoon,CBSS,,,,,,,,,,,,,,,,,384,2,,,384,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,B.A.P.S. MOVIE,ENTERTAINMENT,Early Fringe,BET,,,,,,,,,,,,,,,,,,,694,1,694,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,CAMBRIDGE: A UNITED STOR,ENTERTAINMENT,Weekend Afternoon,CBSS,,,,,,,,,,,,,,,,,234,1,,,234,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,CELEBRITY FAMILY FEUD,ENTERTAINMENT,Weekend Afternoon,BET,,,,,,,,,,,,,,,,,694,1,,,694,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,COLLEGE HILL: SOUTH BEAC,ENTERTAINMENT,Weekend Afternoon,BETH,,,,,,,,,,,,,104,2,,,,,,,104,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,COMING TO AMERICA MOVIE,ENTERTAINMENT,Weekend Afternoon,BET,,,,,,,,,,,,,,,,,,,694,1,694,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,CRIMINAL MINDS,ENTERTAINMENT,Early Fringe,POP,,,,,,,,,,,,,,,"1,086",6,"1,017",9,632,4,"2,735",19
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,CRIMINAL MINDS,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,181,1,339,3,880,4,"1,400",8
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,DEAR BEST FRIEND,ENTERTAINMENT,Early Fringe,BETH,,,,,,,,,,,,,,,213,1,,,,,213,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,DEAR BEST FRIEND,ENTERTAINMENT,Weekend Afternoon,BETH,,,,,,,,,,,,,,,213,1,,,,,213,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,E1 WORLD CHAMPIONSHIP,SPORTS,Early Fringe,CBSS,,,,,,,,,,,,,,,,,,,"1,031",1,"1,031",1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,FAMILY GUY,ENTERTAINMENT,Prime Time,COM,,,,,,,,,,,,,,,,,,,225,1,225,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,FAMILY MATTERS,ENTERTAINMENT,Overnight,BETH,,,,,,,,,,,,,60,2,84,3,,,12,1,156,6
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,FERRARI CHALLENGE NORTH,SPORTS,Early Fringe,CBSS,,,,,,,,,,,,,,,,,234,1,,,234,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,FERRARI CHALLENGE NORTH,SPORTS,Weekend Afternoon,CBSS,,,,,,,,,,,,,,,,,117,1,,,117,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,FIM MOTOCROSS WORLD CHAM,SPORTS,Early Fringe,CBSS,,,,,,,,,,,,,,,,,351,2,,,351,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,GLOBAL CHAMPIONS TOUR,SPORTS,Weekend Afternoon,CBSS,,,,,,,,,,,,,,,,,,,773,1,773,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,LIFTED,ENTERTAINMENT,Sunday Morning,BETH,,,,,,,,,,,,,"1,624",7,852,4,,,,,"2,476",11
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,MAJOR LEAGUE FISHING,SPORTS,Weekend Afternoon,CBSS,,,,,,,,,,,,,,,,,,,"1,160",2,"1,160",2
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,MAJOR LEAGUE TABLE TENNI,SPORTS,Weekend Afternoon,CBSS,,,,,,,,,,,,,,,,,,,387,1,387,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,MARTIN,ENTERTAINMENT,Sunday Morning,BET,,,,,,,,,,,,,,,,,456,1,,,456,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,MOTOCROSS,SPORTS,Early Fringe,CBSS,,,,,,,,,,,,,,,,,,,"1,404",9,"1,404",9
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,MOTOCROSS,SPORTS,Weekend Afternoon,CBSS,,,,,,,,,,,,,,,,,,,880,1,880,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,MS. PAT SETTLES IT,ENTERTAINMENT,Weekend Afternoon,BETH,,,,,,,,,,,,,,,107,1,,,,,107,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,MS. PAT SETTLES IT,ENTERTAINMENT,Sunday Morning,BETH,,,,,,,,,,,,,232,1,426,2,,,178,2,836,5
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,NCIS,ENTERTAINMENT,Weekend Afternoon,POP,,,,,,,,,,,,,,,724,4,678,6,588,4,"1,990",14
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,NCIS,ENTERTAINMENT,Sunday Morning,POP,,,,,,,,,,,,,,,"1,296",6,"2,376",18,522,4,"4,194",28
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,OFFICE,ENTERTAINMENT,Early Fringe,COM,,,,,,,,,,,,,,,893,1,,,,,893,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,PARKS AND RECREATION,ENTERTAINMENT,Sunday Morning,COM,,,,,,,,,,,,,821,1,,,,,,,821,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,POKER NIGHT IN AMERICA,SPORTS,Late News,CBSS,,,,,,,,,,,,,,,,,,,234,2,234,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,RIDICULOUSNESS,ENTERTAINMENT,Late Fringe,MTV,,,,,,,,,,,,,,,258,1,,,,,258,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,RIDICULOUSNESS,ENTERTAINMENT,Overnight,MTV,,,,,,,,,,,,,,,,,332,1,339,1,671,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,RSVP MOVIE,ENTERTAINMENT,Late Fringe,BETH,,,,,,,,,,,,,,,45,1,,,,,45,1
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,TYLER PERRY'S FOR BETTER,ENTERTAINMENT,Sunday Morning,BET,,,,,,,,,,,,,,,,,912,2,,,912,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,TYLER PERRY'S MEET/BROWN,ENTERTAINMENT,Late Fringe,BETH,,,,,,,,,,,,,,,224,2,,,52,1,276,3
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,TYLER PERRY'S MEET/BROWN,ENTERTAINMENT,Overnight,BETH,,,,,,,,,,,,,134,1,112,1,,,,,246,2
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,TYLER PERRY'S MEET/BROWN,ENTERTAINMENT,Sunday Morning,BETH,,,,,,,,,,,,,"1,392",6,"1,065",5,,,89,1,"2,546",12
Chomps,Chomps,Television,Cable TV,Paramount Global,Sunday,NATIONAL,* TOTAL US,WORLD OF OUTLAWS SERIES,SPORTS,Weekend Afternoon,CBSS,,,,,,,,,,,,,,,,,,,629,4,629,4
Chomps,Chomps,Television,Cable TV,Walt Disney Co,Monday,NATIONAL,* TOTAL US,ALITA: BATTLE ANGEL,ENTERTAINMENT,Morning,FXX,,,,,,,,,,,,,,,,,193,1,,,193,1
